"t","source","name","pid","cpuSec","rssMb"
"2026-09-03T10:07:41.6616875+08:00","host","machine","0","18.8","0"
"2026-09-03T10:07:41.7102145+08:00","host","java","18412","75.703125","240"
"2026-09-03T10:07:41.7222147+08:00","host","java","22556","84.234375","288"
"2026-09-03T10:07:41.7232162+08:00","host","java","22664","86","231"
"2026-09-03T10:07:41.7232162+08:00","host","java","33636","5.109375","6"
"2026-09-03T10:07:41.7232162+08:00","host","java","38048","4.984375","6"
"2026-09-03T10:07:41.7242141+08:00","host","java","38656","70.625","54"
"2026-09-03T10:07:41.7242141+08:00","host","java","40260","4.8125","6"
"2026-09-03T10:07:41.7242141+08:00","host","java","40644","4.65625","6"
"2026-09-03T10:07:41.7251493+08:00","host","java","43952","74.4375","248"
"2026-09-03T10:07:41.7302379+08:00","host","mysqld","5240","","1"
"2026-09-03T10:07:41.7370004+08:00","host","mysqld","6284","","82"
"2026-09-03T10:07:41.7385175+08:00","host","nginx","20152","1.640625","7"
"2026-09-03T10:07:41.7385175+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:07:44.7715608+08:00","host","machine","0","29.2","0"
"2026-09-03T10:07:44.7833634+08:00","host","java","18412","75.703125","240"
"2026-09-03T10:07:44.7850182+08:00","host","java","22556","84.40625","288"
"2026-09-03T10:07:44.7850182+08:00","host","java","22664","86.015625","231"
"2026-09-03T10:07:44.7850182+08:00","host","java","33636","5.109375","6"
"2026-09-03T10:07:44.7850182+08:00","host","java","38048","4.984375","6"
"2026-09-03T10:07:44.7850182+08:00","host","java","38656","70.625","54"
"2026-09-03T10:07:44.7850182+08:00","host","java","40260","4.8125","6"
"2026-09-03T10:07:44.7850182+08:00","host","java","40644","4.65625","6"
"2026-09-03T10:07:44.7850182+08:00","host","java","43952","74.6875","249"
"2026-09-03T10:07:44.7850182+08:00","host","mysqld","5240","","1"
"2026-09-03T10:07:44.7850182+08:00","host","mysqld","6284","","82"
"2026-09-03T10:07:44.7867007+08:00","host","nginx","20152","1.65625","7"
"2026-09-03T10:07:44.7867007+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:07:47.7989067+08:00","host","machine","0","19","0"
"2026-09-03T10:07:47.8126798+08:00","host","java","18412","75.71875","240"
"2026-09-03T10:07:47.8126798+08:00","host","java","22556","84.421875","288"
"2026-09-03T10:07:47.8126798+08:00","host","java","22664","86.015625","232"
"2026-09-03T10:07:47.8139777+08:00","host","java","33636","5.109375","6"
"2026-09-03T10:07:47.8139777+08:00","host","java","38048","5","6"
"2026-09-03T10:07:47.8139777+08:00","host","java","38656","70.640625","54"
"2026-09-03T10:07:47.8147022+08:00","host","java","40260","4.8125","6"
"2026-09-03T10:07:47.8147022+08:00","host","java","40644","4.65625","6"
"2026-09-03T10:07:47.8147022+08:00","host","java","43952","74.75","250"
"2026-09-03T10:07:47.8147022+08:00","host","mysqld","5240","","1"
"2026-09-03T10:07:47.8157087+08:00","host","mysqld","6284","","82"
"2026-09-03T10:07:47.8157087+08:00","host","nginx","20152","1.671875","7"
"2026-09-03T10:07:47.8157087+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:07:50.8308798+08:00","host","machine","0","9.1","0"
"2026-09-03T10:07:50.8398068+08:00","host","java","18412","75.734375","240"
"2026-09-03T10:07:50.8403300+08:00","host","java","22556","84.765625","291"
"2026-09-03T10:07:50.8403300+08:00","host","java","22664","86.015625","232"
"2026-09-03T10:07:50.8403300+08:00","host","java","33636","5.109375","6"
"2026-09-03T10:07:50.8403300+08:00","host","java","38048","5","6"
"2026-09-03T10:07:50.8403300+08:00","host","java","38656","70.640625","54"
"2026-09-03T10:07:50.8408599+08:00","host","java","40260","4.8125","6"
"2026-09-03T10:07:50.8408599+08:00","host","java","40644","4.65625","6"
"2026-09-03T10:07:50.8413698+08:00","host","java","43952","74.984375","255"
"2026-09-03T10:07:50.8418848+08:00","host","mysqld","5240","","1"
"2026-09-03T10:07:50.8422224+08:00","host","mysqld","6284","","82"
"2026-09-03T10:07:50.8433792+08:00","host","nginx","20152","1.671875","7"
"2026-09-03T10:07:50.8438841+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:07:53.8617108+08:00","host","machine","0","19.4","0"
"2026-09-03T10:07:53.8691468+08:00","host","java","18412","75.75","240"
"2026-09-03T10:07:53.8691468+08:00","host","java","22556","84.953125","291"
"2026-09-03T10:07:53.8701467+08:00","host","java","22664","86.015625","232"
"2026-09-03T10:07:53.8701467+08:00","host","java","33636","5.109375","6"
"2026-09-03T10:07:53.8701467+08:00","host","java","38048","5","6"
