"t","source","name","pid","cpuSec","rssMb"
"2026-09-03T10:12:01.0716683+08:00","host","machine","0","56.7","0"
"2026-09-03T10:12:01.1284618+08:00","host","java","18412","97.484375","278"
"2026-09-03T10:12:01.1391493+08:00","host","java","22556","99.625","285"
"2026-09-03T10:12:01.1448865+08:00","host","java","22664","99.359375","264"
"2026-09-03T10:12:01.1448865+08:00","host","java","33636","5.34375","6"
"2026-09-03T10:12:01.1448865+08:00","host","java","38048","5.171875","4"
"2026-09-03T10:12:01.1448865+08:00","host","java","38656","71.171875","54"
"2026-09-03T10:12:01.1448865+08:00","host","java","40260","5.015625","6"
"2026-09-03T10:12:01.1448865+08:00","host","java","40644","4.8125","3"
"2026-09-03T10:12:01.1448865+08:00","host","java","43952","88.921875","245"
"2026-09-03T10:12:01.1469151+08:00","host","mysqld","5240","","1"
"2026-09-03T10:12:01.1520233+08:00","host","mysqld","6284","","84"
"2026-09-03T10:12:01.1520233+08:00","host","nginx","20152","3.34375","4"
"2026-09-03T10:12:01.1536315+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:12:04.1919388+08:00","host","machine","0","34.7","0"
"2026-09-03T10:12:04.2478488+08:00","host","java","18412","97.625","278"
"2026-09-03T10:12:04.2478488+08:00","host","java","22556","99.78125","286"
"2026-09-03T10:12:04.2503828+08:00","host","java","22664","99.9375","264"
"2026-09-03T10:12:04.2503828+08:00","host","java","33636","5.34375","6"
"2026-09-03T10:12:04.2503828+08:00","host","java","38048","5.171875","4"
"2026-09-03T10:12:04.2524057+08:00","host","java","38656","71.171875","54"
"2026-09-03T10:12:04.2524057+08:00","host","java","40260","5.015625","6"
"2026-09-03T10:12:04.2530248+08:00","host","java","40644","4.8125","3"
"2026-09-03T10:12:04.2537056+08:00","host","java","43952","89.078125","245"
"2026-09-03T10:12:04.2567557+08:00","host","mysqld","5240","","1"
"2026-09-03T10:12:04.2583414+08:00","host","mysqld","6284","","84"
"2026-09-03T10:12:04.2583414+08:00","host","nginx","20152","3.40625","4"
"2026-09-03T10:12:04.2583414+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:12:07.2910068+08:00","host","machine","0","25.6","0"
"2026-09-03T10:12:07.3514763+08:00","host","java","18412","97.796875","278"
"2026-09-03T10:12:07.3535420+08:00","host","java","22556","99.9375","286"
"2026-09-03T10:12:07.3564078+08:00","host","java","22664","100.671875","264"
"2026-09-03T10:12:07.3564078+08:00","host","java","33636","5.34375","6"
"2026-09-03T10:12:07.3576424+08:00","host","java","38048","5.171875","4"
"2026-09-03T10:12:07.3576424+08:00","host","java","38656","71.171875","54"
"2026-09-03T10:12:07.3576424+08:00","host","java","40260","5.015625","6"
"2026-09-03T10:12:07.3576424+08:00","host","java","40644","4.8125","3"
"2026-09-03T10:12:07.3576424+08:00","host","java","43952","89.15625","245"
"2026-09-03T10:12:07.3637984+08:00","host","mysqld","5240","","1"
"2026-09-03T10:12:07.3665572+08:00","host","mysqld","6284","","84"
"2026-09-03T10:12:07.3665572+08:00","host","nginx","20152","3.4375","4"
"2026-09-03T10:12:07.3665572+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:12:10.4062404+08:00","host","machine","0","28.6","0"
"2026-09-03T10:12:10.4398935+08:00","host","java","18412","98.03125","279"
"2026-09-03T10:12:10.4398935+08:00","host","java","22556","100.078125","286"
"2026-09-03T10:12:10.4398935+08:00","host","java","22664","101.21875","264"
"2026-09-03T10:12:10.4445419+08:00","host","java","33636","5.34375","6"
"2026-09-03T10:12:10.4445419+08:00","host","java","38048","5.171875","4"
"2026-09-03T10:12:10.4465592+08:00","host","java","38656","71.171875","54"
"2026-09-03T10:12:10.4485780+08:00","host","java","40260","5.015625","6"
"2026-09-03T10:12:10.4499480+08:00","host","java","40644","4.8125","3"
"2026-09-03T10:12:10.4499480+08:00","host","java","43952","89.234375","245"
"2026-09-03T10:12:10.4523234+08:00","host","mysqld","5240","","1"
"2026-09-03T10:12:10.4554786+08:00","host","mysqld","6284","","84"
"2026-09-03T10:12:10.4561831+08:00","host","nginx","20152","3.453125","4"
"2026-09-03T10:12:10.4561831+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:12:13.4723316+08:00","host","machine","0","28.6","0"
"2026-09-03T10:12:13.5103617+08:00","host","java","18412","98.203125","279"
"2026-09-03T10:12:13.5103617+08:00","host","java","22556","100.203125","286"
"2026-09-03T10:12:13.5123795+08:00","host","java","22664","101.90625","264"
"2026-09-03T10:12:13.5123795+08:00","host","java","33636","5.359375","6"
"2026-09-03T10:12:13.5123795+08:00","host","java","38048","5.203125","4"
