"t","source","name","pid","cpuSec","rssMb"
"2026-09-03T10:13:50.1906704+08:00","host","machine","0","18.8","0"
"2026-09-03T10:13:50.2387023+08:00","host","java","18412","102.28125","291"
"2026-09-03T10:13:50.2421104+08:00","host","java","22556","106.515625","280"
"2026-09-03T10:13:50.2421104+08:00","host","java","22664","105.890625","259"
"2026-09-03T10:13:50.2421104+08:00","host","java","33636","5.453125","3"
"2026-09-03T10:13:50.2421104+08:00","host","java","38048","5.234375","2"
"2026-09-03T10:13:50.2421104+08:00","host","java","38656","71.390625","49"
"2026-09-03T10:13:50.2421104+08:00","host","java","40260","5.15625","3"
"2026-09-03T10:13:50.2421104+08:00","host","java","40644","4.828125","2"
"2026-09-03T10:13:50.2421104+08:00","host","java","43952","94.90625","257"
"2026-09-03T10:13:50.2421104+08:00","host","mysqld","5240","","1"
"2026-09-03T10:13:50.2538745+08:00","host","mysqld","6284","","84"
"2026-09-03T10:13:50.2538745+08:00","host","nginx","20152","4.09375","3"
"2026-09-03T10:13:50.2548763+08:00","host","nginx","40492","0.109375","3"
"2026-09-03T10:13:53.2727613+08:00","host","machine","0","20.7","0"
"2026-09-03T10:13:53.2947340+08:00","host","java","18412","103.203125","291"
"2026-09-03T10:13:53.2957340+08:00","host","java","22556","107.09375","280"
"2026-09-03T10:13:53.2957340+08:00","host","java","22664","105.90625","259"
"2026-09-03T10:13:53.2967499+08:00","host","java","33636","5.453125","3"
"2026-09-03T10:13:53.2967499+08:00","host","java","38048","5.234375","2"
"2026-09-03T10:13:53.2977497+08:00","host","java","38656","71.40625","50"
"2026-09-03T10:13:53.2977497+08:00","host","java","40260","5.15625","3"
"2026-09-03T10:13:53.2977497+08:00","host","java","40644","4.828125","2"
"2026-09-03T10:13:53.2987522+08:00","host","java","43952","94.953125","257"
"2026-09-03T10:13:53.3007484+08:00","host","mysqld","5240","","1"
"2026-09-03T10:13:53.3027085+08:00","host","mysqld","6284","","84"
"2026-09-03T10:13:53.3027085+08:00","host","nginx","20152","4.140625","3"
"2026-09-03T10:13:53.3027085+08:00","host","nginx","40492","0.109375","3"
"2026-09-03T10:13:56.3198969+08:00","host","machine","0","16.3","0"
"2026-09-03T10:13:56.3611973+08:00","host","java","18412","103.515625","291"
"2026-09-03T10:13:56.3611973+08:00","host","java","22556","107.4375","280"
"2026-09-03T10:13:56.3629657+08:00","host","java","22664","105.9375","259"
"2026-09-03T10:13:56.3629657+08:00","host","java","33636","5.453125","3"
"2026-09-03T10:13:56.3629657+08:00","host","java","38048","5.234375","2"
"2026-09-03T10:13:56.3646757+08:00","host","java","38656","71.421875","50"
"2026-09-03T10:13:56.3646757+08:00","host","java","40260","5.15625","3"
"2026-09-03T10:13:56.3646757+08:00","host","java","40644","4.828125","2"
"2026-09-03T10:13:56.3646757+08:00","host","java","43952","95.03125","257"
"2026-09-03T10:13:56.3678781+08:00","host","mysqld","5240","","1"
