"t","source","name","cpu","rssMb"
"2026-09-03T10:23:03.6459761+08:00","docker","clas-mono-redis","0.36","4.1"
"2026-09-03T10:23:03.6489183+08:00","docker","clas-mono-mysql","5.27","523.9"
"2026-09-03T10:23:03.6499153+08:00","docker","opengaussdb","3.05","533"
"2026-09-03T10:23:03.6499153+08:00","docker","clas-mono-redis","0.37","4.1"
"2026-09-03T10:23:03.6499153+08:00","docker","clas-mono-mysql","5.37","523.9"
"2026-09-03T10:23:03.6499153+08:00","docker","opengaussdb","2.96","533.1"
"2026-09-03T10:23:03.6509178+08:00","docker","clas-mono-redis","0.46","3.9"
"2026-09-03T10:23:03.6509178+08:00","docker","clas-mono-mysql","6.5","523.2"
"2026-09-03T10:23:03.6509178+08:00","docker","opengaussdb","3.82","532.8"
"2026-09-03T10:23:03.6509178+08:00","docker","clas-mono-redis","0.64","3.9"
"2026-09-03T10:23:03.6509178+08:00","docker","clas-mono-mysql","7.94","523.7"
"2026-09-03T10:23:03.6519153+08:00","docker","opengaussdb","5.08","532.8"
"2026-09-03T10:23:03.6519153+08:00","docker","clas-mono-redis","0.48","3.9"
"2026-09-03T10:23:03.6519153+08:00","docker","clas-mono-mysql","6.37","522.9"
"2026-09-03T10:23:03.6519153+08:00","docker","opengaussdb","5.12","533.1"
"2026-09-03T10:23:03.6519153+08:00","docker","clas-mono-redis","0.41","4.1"
"2026-09-03T10:23:03.6529189+08:00","docker","clas-mono-mysql","5.61","524.6"
"2026-09-03T10:23:03.6529189+08:00","docker","opengaussdb","3.4","532.8"
"2026-09-03T10:23:03.6529189+08:00","docker","clas-mono-redis","0.47","3.9"
"2026-09-03T10:23:03.6529189+08:00","docker","clas-mono-mysql","7.83","524.2"
"2026-09-03T10:23:03.6539165+08:00","docker","opengaussdb","3.25","532.8"
