"t","source","name","cpu","rssMb"
"2026-09-03T10:24:06.9773204+08:00","docker","clas-mono-redis","0.51","3.9"
"2026-09-03T10:24:06.9893468+08:00","docker","clas-mono-mysql","3.04","524"
"2026-09-03T10:24:06.9934034+08:00","docker","opengaussdb","3.17","532.9"
"2026-09-03T10:24:06.9963170+08:00","docker","clas-mono-redis","0.53","4.1"
"2026-09-03T10:24:06.9983560+08:00","docker","clas-mono-mysql","2.78","523.5"
"2026-09-03T10:24:07.0003974+08:00","docker","opengaussdb","3.23","532.9"
"2026-09-03T10:24:07.0019326+08:00","docker","clas-mono-redis","0.48","3.9"
"2026-09-03T10:24:07.0038799+08:00","docker","clas-mono-mysql","2.18","524"
"2026-09-03T10:24:07.0084731+08:00","docker","opengaussdb","2.34","532.9"
"2026-09-03T10:24:07.0101582+08:00","docker","clas-mono-redis","0.48","4.1"
"2026-09-03T10:24:07.0121945+08:00","docker","clas-mono-mysql","3.25","523.8"
"2026-09-03T10:24:07.0142247+08:00","docker","opengaussdb","2.34","533.1"
"2026-09-03T10:24:07.0162507+08:00","docker","clas-mono-redis","0.4","3.9"
"2026-09-03T10:24:07.0193507+08:00","docker","clas-mono-mysql","2.96","524.7"
"2026-09-03T10:24:07.0203718+08:00","docker","opengaussdb","2.45","533.1"
"2026-09-03T10:24:07.0203718+08:00","docker","clas-mono-redis","0.49","4.1"
"2026-09-03T10:24:07.0210692+08:00","docker","clas-mono-mysql","2.71","523.9"
"2026-09-03T10:24:07.0236075+08:00","docker","opengaussdb","2.9","533.2"
"2026-09-03T10:24:07.0236075+08:00","docker","clas-mono-redis","0.46","4.1"
"2026-09-03T10:24:07.0262554+08:00","docker","clas-mono-mysql","2.74","523.8"
"2026-09-03T10:24:07.0293290+08:00","docker","opengaussdb","3.36","533.4"
