"t","source","name","cpu","rssMb"
"2026-09-03T10:27:24.4964535+08:00","docker","clas-mono-redis","0.57","4.1"
"2026-09-03T10:27:24.5007919+08:00","docker","clas-mono-mysql","4.44","525.9"
"2026-09-03T10:27:24.5018157+08:00","docker","opengaussdb","4.36","533.4"
"2026-09-03T10:27:24.5028124+08:00","docker","clas-mono-redis","0.63","4.1"
"2026-09-03T10:27:24.5028124+08:00","docker","clas-mono-mysql","6.57","524.9"
"2026-09-03T10:27:24.5038168+08:00","docker","opengaussdb","6.34","533.6"
"2026-09-03T10:27:24.5048177+08:00","docker","clas-mono-redis","0.68","4.1"
"2026-09-03T10:27:24.5058169+08:00","docker","clas-mono-mysql","6.04","525.4"
"2026-09-03T10:27:24.5068158+08:00","docker","opengaussdb","5.81","533.9"
"2026-09-03T10:27:24.5078134+08:00","docker","clas-mono-redis","0.64","4.1"
"2026-09-03T10:27:24.5083247+08:00","docker","clas-mono-mysql","7.4","525.1"
"2026-09-03T10:27:24.5096838+08:00","docker","opengaussdb","5.16","533.6"
"2026-09-03T10:27:24.5096838+08:00","docker","clas-mono-redis","0.65","4.1"
"2026-09-03T10:27:24.5107026+08:00","docker","clas-mono-mysql","5.56","524.9"
"2026-09-03T10:27:24.5117221+08:00","docker","opengaussdb","6.87","533.7"
